date,mode,note,percent_diff,category
2020-03-01,Cars,2,103,Cars
2020-03-01,Light Commercial Vehicles,2,111.00000000000001,Logistics
2020-03-01,Heavy Goods Vehicles,2,108,Logistics
2020-03-01,All motor vehicles,2,104,All motor vehicles
2020-03-01,National Rail,"3,4",97,Other public
2020-03-01,TfL Tube,5,104,London public
2020-03-01,TfL Bus,"5,7",102,London public
2020-03-01,Bus excl. London,"6,8,9",NA,Other public
2020-03-01,Cycling,"10,11",NA,Cycling
2020-03-02,Cars,2,102,Cars
2020-03-02,Light Commercial Vehicles,2,106,Logistics
2020-03-02,Heavy Goods Vehicles,2,103,Logistics
2020-03-02,All motor vehicles,2,103,All motor vehicles
2020-03-02,National Rail,"3,4",94,Other public
2020-03-02,TfL Tube,5,95,London public
2020-03-02,TfL Bus,"5,7",97,London public
2020-03-02,Bus excl. London,"6,8,9",NA,Other public
2020-03-02,Cycling,"10,11",NA,Cycling
2020-03-03,Cars,2,101,Cars
2020-03-03,Light Commercial Vehicles,2,105,Logistics
2020-03-03,Heavy Goods Vehicles,2,102,Logistics
2020-03-03,All motor vehicles,2,102,All motor vehicles
2020-03-03,National Rail,"3,4",95,Other public
2020-03-03,TfL Tube,5,95,London public
2020-03-03,TfL Bus,"5,7",96,London public
2020-03-03,Bus excl. London,"6,8,9",NA,Other public
2020-03-03,Cycling,"10,11",NA,Cycling
2020-03-04,Cars,2,101,Cars
2020-03-04,Light Commercial Vehicles,2,104,Logistics
2020-03-04,Heavy Goods Vehicles,2,103,Logistics
2020-03-04,All motor vehicles,2,101,All motor vehicles
2020-03-04,National Rail,"3,4",95,Other public
2020-03-04,TfL Tube,5,95,London public
2020-03-04,TfL Bus,"5,7",97,London public
2020-03-04,Bus excl. London,"6,8,9",NA,Other public
2020-03-04,Cycling,"10,11",NA,Cycling
2020-03-05,Cars,2,100,Cars
2020-03-05,Light Commercial Vehicles,2,103,Logistics
2020-03-05,Heavy Goods Vehicles,2,102,Logistics
2020-03-05,All motor vehicles,2,100,All motor vehicles
2020-03-05,National Rail,"3,4",97,Other public
2020-03-05,TfL Tube,5,92,London public
2020-03-05,TfL Bus,"5,7",92,London public
2020-03-05,Bus excl. London,"6,8,9",NA,Other public
2020-03-05,Cycling,"10,11",NA,Cycling
2020-03-06,Cars,2,102,Cars
2020-03-06,Light Commercial Vehicles,2,103,Logistics
2020-03-06,Heavy Goods Vehicles,2,102,Logistics
2020-03-06,All motor vehicles,2,102,All motor vehicles
2020-03-06,National Rail,"3,4",99,Other public
2020-03-06,TfL Tube,5,92,London public
2020-03-06,TfL Bus,"5,7",96,London public
2020-03-06,Bus excl. London,"6,8,9",NA,Other public
2020-03-06,Cycling,"10,11",NA,Cycling
2020-03-07,Cars,2,101,Cars
2020-03-07,Light Commercial Vehicles,2,109.00000000000001,Logistics
2020-03-07,Heavy Goods Vehicles,2,108,Logistics
2020-03-07,All motor vehicles,2,102,All motor vehicles
2020-03-07,National Rail,"3,4",99,Other public
2020-03-07,TfL Tube,5,91,London public
2020-03-07,TfL Bus,"5,7",93,London public
2020-03-07,Bus excl. London,"6,8,9",NA,Other public
2020-03-07,Cycling,"10,11",NA,Cycling
2020-03-08,Cars,2,105,Cars
2020-03-08,Light Commercial Vehicles,2,112.99999999999999,Logistics
2020-03-08,Heavy Goods Vehicles,2,112.00000000000001,Logistics
2020-03-08,All motor vehicles,2,106,All motor vehicles
2020-03-08,National Rail,"3,4",99,Other public
2020-03-08,TfL Tube,5,87,London public
2020-03-08,TfL Bus,"5,7",95,London public
2020-03-08,Bus excl. London,"6,8,9",0,Other public
2020-03-08,Cycling,"10,11",89,Cycling
2020-03-09,Cars,2,101,Cars
2020-03-09,Light Commercial Vehicles,2,107,Logistics
2020-03-09,Heavy Goods Vehicles,2,104,Logistics
2020-03-09,All motor vehicles,2,103,All motor vehicles
2020-03-09,National Rail,"3,4",100,Other public
2020-03-09,TfL Tube,5,90,London public
2020-03-09,TfL Bus,"5,7",95,London public
2020-03-09,Bus excl. London,"6,8,9",102,Other public
2020-03-09,Cycling,"10,11",105,Cycling
2020-03-10,Cars,2,99,Cars
2020-03-10,Light Commercial Vehicles,2,105,Logistics
2020-03-10,Heavy Goods Vehicles,2,103,Logistics
2020-03-10,All motor vehicles,2,101,All motor vehicles
2020-03-10,National Rail,"3,4",99,Other public
2020-03-10,TfL Tube,5,89,London public
2020-03-10,TfL Bus,"5,7",97,London public
2020-03-10,Bus excl. London,"6,8,9",102,Other public
2020-03-10,Cycling,"10,11",82,Cycling
2020-03-11,Cars,2,99,Cars
2020-03-11,Light Commercial Vehicles,2,104,Logistics
2020-03-11,Heavy Goods Vehicles,2,103,Logistics
2020-03-11,All motor vehicles,2,100,All motor vehicles
2020-03-11,National Rail,"3,4",98,Other public
2020-03-11,TfL Tube,5,86,London public
2020-03-11,TfL Bus,"5,7",93,London public
