Date,ID,Milestone,Detail,URL,summary_of_measure_change,introduced_by,targeted_at,when_introduced_duration,why_stated_aims,how_key_components_and_mechanisms,url_key_docs,category,subcategory,notes,transport_policy
2020-01-10T00:00:00Z,2.02,NA,NA,NA,Guidance published for health care providers outlining infection prevention and control measures to be taken in response to COVID-19,"Department of Health and Social Care, Public Health Wales, Public Health Agency, Northern Ireland, Health Protection Scotland, Public Health England",Health and social care providers,"Published 10 January 2020. Updates up to 1 April include: 

31 January 2020 - Updated waste categorisation and terminology for novel coronavirus (2019-nCoV).

14 February 2020 - Revised guidance.

6 March 2020 - Changes to PPE and mask and respiratory recommendations for different situations; incorporated existing advice on safe use of point-of-care tests including blood gas machines and updated advice on IPC in operating theatres.

13 March 2020 - Added 'Infection prevention and control guidance for pandemic coronavirus'.

21 March 2020 - Added new guidance on when to use a face mask or FFP3 respirator.

21 March 2020 - Added new guidance for putting on and taking off personal protective equipment for non-aerosol generating procedures.

27 March 2020 - Revised sections on aerosol generating procedures and theatres.

23 March 2020 - Moved guidance for personal protective equipment (PPE) for aerosol generating procedures and for non-aerosol generating procedures to new, separate pages.

Later major updates are logged separately",This document provides guidance and information on infection prevention and control procedures to inform and advise local healthcare planning for COVID-19.,Outlines range of infection prevention and control measures,Gov.uk_guidance,Measures to limit spread,Infection prevention and control,NA,Wider policies
2020-01-10T00:00:00Z,2.03,NA,NA,NA,Guidance published for clinicians on the investigation and initial clinical management of possible cases of COVID-19 infection,Public Health England,Clinicians,Published 10 January 2020. Later updated e.g. case definitions and flow charts,Not stated,"Information provided on case definitions, and the initial assessment and investigation of possible cases of COVID-19 infection.",Gov.uk_guidance,Measures to limit spread,Health and social care settings,NA,Wider policies
2020-01-10T00:00:00Z,2.04,NA,NA,NA,Public Health England offers advice for travellers to Wuhan,Public Health England,General public travelling to Hubei Province,Published 10 January. Later major updates to travel advice logged separately,In order to minimise the risk of transmission,Travellers are advised to take simple precautions such as practicing good hand and personal hygiene and minimise contact with birds and animals in markets in Wuhan as a further precaution.,Gov.uk_guidance,Measures to limit spread,Travel measures,NA,Transport-specific policy
2020-01-16T00:00:00Z,2.05,NA,NA,NA,An interim recommendation is made to classify COVID-19 as a high consequence infectious disease (HCID) in the UK,Public Health England,na,Added as a high consequence infectious disease on 16 January 2020. Later changes logged separately.,NA,NA,Gov.uk_guidance,Measures to limit spread,Other,NA,Wider policies
2020-01-21T00:00:00Z,2.06,NA,NA,NA,"Guidance published for primary care professionals outlining actions to be taken around dealing with potential COVID-19 patients in primary care settings, when transferring them to other settings, and environmental cleaning [now withdrawn]",Public Health England,Primary care professionals,"Published 21 January 2020. Now withdrawn. 

Updates to guidance before withdrawal include:
18 March 2020 - Updated to reflect stay at home guidance.

25 February 2020 - Updated specified countries and areas.

20 February 2020 - Updated 'Actions to take' regarding use of surgical face masks.

6 February 2020 - Change to relevant travel history: now China, Hong Kong, Japan, Macau, Malaysia, Republic of Korea, Singapore, Taiwan, or Thailand.

30 January 2020 - Replaced Wuhan with ""mainland China, not including Hong Kong and Macao"".

27 January 2020 - Added advice on cleaning of primary care premises following a possible case.",Primary care professionals can use this information to reduce the risk of spread of infection during and following consultation with a suspected case of COVID-19.,"Guidance covers: (a) actions to take, including dealing with potential cases of COVID-19 when taking bookings, identifying potential cases at reception; wearing PPE during face to face assessments (b) patient transfers (c) environmental cleaning following a possible case.",Gov.uk_guidance,Measures to limit spread,Health and social care settings,NA,Wider policies
2020-01-22T00:00:00Z,2.07,NA,NA,NA,Department of Health and Social Care and Public Health England release statement on enhanced monitoring of passengers travelling from Wuhan,"Department of Health and Social Care, Public Health England",na,Introduced 22 January 2020,Not stated,Enhanced monitoring put in place from flights from Wuhan to UK. Passengers will be checked for symptoms and given advice. The risk to the UK population from COVID-19 is assessed as 'low' (raised from 'very low'). 'The UK is well prepared for new diseases and our approach is kept under constant review.',Gov.uk_news,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-01-28T00:00:00Z,2.08,NA,NA,NA,Foreign and Commonwealth Office travel advice is updated to recommend against all but essential travel to mainland China,Foreign and Commonwealth Office,General public travelling to and from China,Updated advice published 28 January. Later major updates to travel advice logged separately,NA,NA,Gov.uk_news,Measures to limit spread,Travel measures,NA,Transport-specific policy
2020-01-30T00:00:00Z,2.09,NA,NA,NA,"UK Chief Medical Officers raise risk of COVID-19 to the public from low to moderate, permitting the government to escalate planning",Department of Health and Social Care,na,Statement published 30 January 2020,To escalate planning and preparation in case of a more widespread outbreak,"Chief Medical Officers' advise an increase of the UK risk level from low to moderate: 'This does not mean we think the risk to individuals in the UK has changed at this stage, but that government should plan for all eventualities.'",Gov.uk_news,Measures to limit spread,Other,NA,Wider policies
2020-02-01T00:00:00Z,2.1,NA,NA,NA,Guidance published for professionals on advising the general public [now withdrawn],Public Health England,Professionals in advising the general public,Published 25 February 2020. Withdrawn 13 March 2020 and superseded by stay at home guidance,Not stated - broad aims to reduce spread,"Includes guidance on: (a) general principles to prevent spread (handwashing, cleaning, stay home if unwell (b) Actions on return from China and specified countries and areas (c) Action on presentation of symptoms (d) feeling unwell when away from home",Gov.uk_guidance,Measures to limit spread,Informing the public,NA,Wider policies
2020-02-02T00:00:00Z,2.11,NA,NA,NA,COVID-19 public information campaign launched,Department of Health and Social Care,General public,Published 2 February 2020,To advise the public on how to slow the spread of COVID-19 and reduce the impact on NHS services,"UK government and NHS-branded information will appear in radio, print, media and social media",Gov.uk_news,Measures to limit spread,Informing the public,NA,Wider policies
